"Limbang, SARAWAK","ILP Miri, SARAWAK","Miri, SARAWAK","Samalaju, SARAWAK","Bintulu, SARAWAK","Mukah, SARAWAK","Kapit, SARAWAK","Sibu, SARAWAK","Sarikei, SARAWAK","Sri Aman, SARAWAK","Samarahan, SARAWAK","Kuching, SARAWAK"
40,48,52,41,55,43,39,39,36,22,31,41
41,48,52,41,55,44,37,40,35,23,28,41
41,47,52,42,55,44,37,40,35,24,29,41
41,48,52,42,55,44,38,40,34,24,28,40
41,45,52,43,55,46,39,41,34,24,29,39
42,46,52,43,55,46,39,42,34,24,30,38
40,46,52,42,56,47,40,42,34,24,30,38
40,45,52,43,56,46,40,42,33,25,30,39
40,46,52,41,56,47,40,43,33,24,31,39
40,47,52,40,56,47,39,44,33,24,32,39
41,47,52,40,56,48,40,44,34,23,31,38
41,48,52,40,56,48,40,45,34,22,31,38
41,49,52,39,56,51,39,44,34,22,35,39
41,51,53,40,56,51,40,45,32,23,34,38
41,51,53,41,56,52,38,45,34,24,35,37
41,52,53,41,56,52,38,46,36,25,35,40
41,52,53,42,56,52,38,47,38,26,36,39
40,52,53,43,56,52,38,47,39,27,35,38
41,52,53,43,56,51,39,48,39,27,35,38
41,52,53,44,56,51,40,49,40,27,36,38
41,52,53,44,56,50,41,50,40,27,37,39
41,52,53,44,56,49,41,51,40,27,38,39
40,52,53,45,56,51,41,51,40,26,38,40
40,52,53,46,56,50,42,49,40,27,35,40
40,52,54,46,56,49,39,47,40,27,35,39
41,51,54,46,56,49,38,45,41,28,35,39
41,51,53,45,56,49,37,45,42,27,33,38
41,51,54,45,56,50,35,44,43,27,33,37
42,52,54,45,56,49,34,42,42,27,33,36
42,52,54,45,56,48,34,40,43,28,32,36
42,52,54,46,56,49,35,39,42,29,32,37
42,52,54,46,56,48,35,40,42,29,32,38
42,52,54,46,56,48,34,37,42,29,32,40
41,51,54,45,56,47,35,43,42,29,33,41
41,51,53,44,56,48,35,50,42,29,33,42
41,51,53,44,56,47,34,51,41,29,32,43
41,51,53,44,56,43,34,49,40,29,28,42
41,48,54,43,56,41,33,50,39,28,29,42
40,47,54,41,56,39,33,49,38,27,29,42
40,46,54,39,56,37,32,48,36,26,29,39
40,46,54,39,56,35,33,47,36,24,28,39
40,46,53,38,56,35,31,46,34,23,28,39
40,45,54,37,56,36,30,44,33,23,27,38
40,46,54,36,56,37,29,43,32,22,26,37
40,47,54,34,56,37,29,42,31,21,23,35
40,46,54,34,56,36,29,41,31,22,24,33
40,46,54,33,56,35,27,40,30,22,25,32
41,47,54,33,56,36,27,42,31,21,27,31
40,47,54,34,56,36,29,43,31,21,27,31
38,46,54,35,56,36,33,45,30,21,30,32
38,46,55,35,56,35,35,45,31,21,31,32
37,47,55,35,56,35,35,46,32,22,33,32
36,47,55,35,56,36,37,47,32,31,32,32
35,46,55,34,56,36,36,48,33,30,32,32
35,44,55,32,57,35,35,49,33,29,32,31
34,43,55,31,57,35,36,48,32,29,32,29
33,43,55,30,57,34,36,48,32,30,31,27
33,43,55,30,57,34,36,42,33,30,31,26
33,43,55,31,57,33,35,34,32,30,31,25
33,44,55,30,57,32,36,33,31,30,31,24
33,43,55,30,57,32,36,35,31,30,31,23
33,43,54,30,57,31,37,35,31,31,29,23
32,43,54,32,57,31,39,34,30,32,29,24
33,42,54,32,57,29,40,35,30,32,29,25
32,42,54,32,57,29,40,36,31,31,29,26
33,42,54,32,57,28,41,37,31,32,29,25
33,41,53,33,57,27,41,37,32,32,28,25
34,40,53,33,57,26,42,36,33,33,27,26
34,41,52,34,57,27,42,36,34,34,27,28
35,41,52,34,57,28,42,35,34,33,26,29
35,42,52,35,57,29,42,35,34,33,24,29
35,42,52,34,57,29,41,34,35,34,23,29
36,41,52,33,57,29,39,34,35,34,22,29
36,41,52,31,57,29,37,34,36,35,19,28
35,41,52,31,57,29,35,34,35,34,19,28
35,41,52,30,57,29,35,34,34,33,17,29
35,40,52,31,57,29,35,34,34,25,17,30
36,40,52,31,57,29,36,35,34,24,17,31
36,40,52,32,57,29,36,36,34,23,17,31
37,42,52,32,57,30,35,36,34,24,17,32
38,43,52,34,57,30,36,36,34,22,16,35
38,43,52,35,57,30,36,36,34,22,16,37
38,42,52,35,57,32,37,38,33,22,16,37
39,42,52,35,57,33,37,38,34,21,16,38
39,44,53,35,57,34,36,37,35,21,16,39
39,45,53,36,57,33,36,36,35,21,17,41
40,45,53,36,57,34,34,38,35,21,17,41
41,45,53,37,57,34,36,39,35,22,17,43
42,44,53,38,57,35,36,45,33,22,19,43
41,46,53,39,57,35,36,48,34,23,20,44
41,46,53,39,57,36,38,51,33,22,20,44
41,46,54,39,57,36,38,52,33,22,20,44
40,43,54,41,57,37,37,52,32,22,20,43
39,43,54,41,57,37,37,53,32,23,21,43
38,43,54,41,57,36,39,53,32,23,21,43
37,43,53,41,57,36,41,53,32,23,21,44
37,43,53,41,57,35,41,53,33,22,21,46
38,43,53,42,57,35,40,53,31,21,22,46
40,43,52,41,57,35,40,53,31,22,22,49
40,43,52,41,57,34,39,54,30,22,22,51
40,43,52,41,57,34,37,54,30,23,21,52
40,43,52,45,57,35,36,53,30,23,22,52
39,43,52,46,57,34,35,53,29,23,21,52
38,43,52,45,57,34,36,53,29,23,21,52
38,43,52,43,57,34,35,53,29,23,21,52
37,43,52,40,57,33,33,53,29,23,20,52
37,44,51,40,57,32,33,52,28,23,20,52
37,42,51,39,57,32,33,52,28,23,20,52
35,42,49,39,57,32,32,52,28,23,19,52
35,42,48,38,57,32,32,52,28,23,20,52
34,43,48,38,57,31,32,52,29,23,20,52
33,42,45,36,57,30,29,52,29,23,21,52
31,41,45,36,57,29,29,48,28,24,20,52
31,39,44,34,57,29,29,45,28,24,19,52
30,41,41,33,57,29,27,41,27,25,20,53
30,42,41,32,57,28,25,36,26,25,21,53
30,42,40,29,57,27,25,33,27,25,23,53
30,42,40,29,57,25,26,32,26,23,24,53
30,42,39,30,57,25,23,31,26,24,25,53
29,41,39,31,57,24,22,31,26,24,25,53
29,40,42,32,57,25,23,32,25,25,26,53
27,41,41,32,58,25,24,30,25,25,27,53
25,41,42,32,58,25,27,30,25,26,28,53
25,40,40,32,58,25,30,30,25,27,28,53
24,43,39,33,58,25,33,30,25,27,28,52
